record_id,year,region,paper_type,subject,title,source_url,source_type,license_status,availability,status,local_path,sha256,notes,material_type
2024-全国-数学-新高考I卷,2024,全国,新高考I卷,数学,2024年普通高等学校招生全国统一考试数学（新高考I卷）,https://raw.githubusercontent.com/ajsadhotmail/2024-China-Gaokao-Math/main/main.pdf,github,unknown,local,indexed,papers/2024/全国/数学/新高考I卷.pdf,ea6237262d2aaec251c9f86fea7955888d61f0c38a6dbbc2dd0c89be81ce423f,从公开 GitHub 仓库下载；许可证未知，内容和授权仍待人工核验,完整试卷
2025-全国-数学-全国一卷,2025,全国,全国一卷,数学,2025年高考数学全国一卷,https://raw.githubusercontent.com/xihong-m/gaokao-math/main/2025全国一卷.pdf,github,unknown,local,indexed,papers/2025/全国/数学/全国一卷.pdf,6637f76b2486b042363ca3a506f40d75f2f7004a8f30c92d6bead7637720bace,从公开 GitHub 仓库下载；许可证未知，内容和授权仍待人工核验,完整试卷
2025-全国-数学-全国二卷,2025,全国,全国二卷,数学,2025年高考数学全国二卷,https://raw.githubusercontent.com/xihong-m/gaokao-math/main/2025全国二卷.pdf,github,unknown,local,indexed,papers/2025/全国/数学/全国二卷.pdf,bccbf2c57d3de336b940c65a3a34a98d1b6a4113e7771358016ccf8f3fd2af75,从公开 GitHub 仓库下载；许可证未知，内容和授权仍待人工核验,完整试卷
2025-BJ-数学-地方卷,2025,BJ,地方卷,数学,2025年北京高考数学,https://raw.githubusercontent.com/xihong-m/gaokao-math/main/2025北京数学.pdf,github,unknown,local,indexed,papers/2025/BJ/数学/北京数学.pdf,1d605f08c4f69b376ac8b7adc33ea5e79baaa1ba79dfb372bb61e06d304c4452,从公开 GitHub 仓库下载；许可证未知，内容和授权仍待人工核验,完整试卷
2026-全国-数学-全国一卷,2026,全国,全国一卷,数学,2026年高考数学全国一卷,https://raw.githubusercontent.com/xihong-m/gaokao-math/main/2026全国一卷数学_4.pdf,github,unknown,local,indexed,papers/2026/全国/数学/全国一卷.pdf,55c09bb73665fa1517192cad8a1e662bf4607d513d84541e4a8fc8cfad57d234,从公开 GitHub 仓库下载；许可证未知，内容和授权仍待人工核验,完整试卷
deekur-2020-02-math,2020,全国,普通高考,数学,"2020全国1文(河南,河北,山西,江西,湖北,湖南,广东,安徽,福建)",https://raw.githubusercontent.com/deekur/gaokaomath/main/%E6%99%AE%E9%80%9A%E9%AB%98%E8%80%83/2020/2020%E5%85%A8%E5%9B%BD1%E6%96%87%28%E6%B2%B3%E5%8D%97%2C%E6%B2%B3%E5%8C%97%2C%E5%B1%B1%E8%A5%BF%2C%E6%B1%9F%E8%A5%BF%2C%E6%B9%96%E5%8C%97%2C%E6%B9%96%E5%8D%97%2C%E5%B9%BF%E4%B8%9C%2C%E5%AE%89%E5%BE%BD%2C%E7%A6%8F%E5%BB%BA%29.pdf,github,permitted,local,indexed,"papers/deekur/数学/2020/2020全国1文(河南,河北,山西,江西,湖北,湖南,广东,安徽,福建).pdf",ddf70f009c21bb641ba78bbf0998f96b69046ac7059e56f0f2c29efec2ccba5a,来自 deekur/gaokaomath；仓库声明 CC-BY-4.0，保留原文件名；括号内省份范围来自文件名，具体内容仍建议人工核验,完整试卷
deekur-2020-03-math,2020,全国,普通高考,数学,"2020全国1理(河南,河北,山西,江西,湖北,湖南,广东,安徽,福建)",https://raw.githubusercontent.com/deekur/gaokaomath/main/%E6%99%AE%E9%80%9A%E9%AB%98%E8%80%83/2020/2020%E5%85%A8%E5%9B%BD1%E7%90%86%28%E6%B2%B3%E5%8D%97%2C%E6%B2%B3%E5%8C%97%2C%E5%B1%B1%E8%A5%BF%2C%E6%B1%9F%E8%A5%BF%2C%E6%B9%96%E5%8C%97%2C%E6%B9%96%E5%8D%97%2C%E5%B9%BF%E4%B8%9C%2C%E5%AE%89%E5%BE%BD%2C%E7%A6%8F%E5%BB%BA%29.pdf,github,permitted,local,indexed,"papers/deekur/数学/2020/2020全国1理(河南,河北,山西,江西,湖北,湖南,广东,安徽,福建).pdf",56cc587b06637b82499ec1da90646692f2412e81d60192dcef28eff6dde19e08,来自 deekur/gaokaomath；仓库声明 CC-BY-4.0，保留原文件名；括号内省份范围来自文件名，具体内容仍建议人工核验,完整试卷
deekur-2020-04-math,2020,全国,普通高考,数学,"2020全国2文(甘肃,青海,内蒙古,黑龙江,吉林,辽宁.宁夏,新疆,陕西,重庆)",https://raw.githubusercontent.com/deekur/gaokaomath/main/%E6%99%AE%E9%80%9A%E9%AB%98%E8%80%83/2020/2020%E5%85%A8%E5%9B%BD2%E6%96%87%28%E7%94%98%E8%82%83%2C%E9%9D%92%E6%B5%B7%2C%E5%86%85%E8%92%99%E5%8F%A4%2C%E9%BB%91%E9%BE%99%E6%B1%9F%2C%E5%90%89%E6%9E%97%2C%E8%BE%BD%E5%AE%81.%E5%AE%81%E5%A4%8F%2C%E6%96%B0%E7%96%86%2C%E9%99%95%E8%A5%BF%2C%E9%87%8D%E5%BA%86%29.pdf,github,permitted,local,indexed,"papers/deekur/数学/2020/2020全国2文(甘肃,青海,内蒙古,黑龙江,吉林,辽宁.宁夏,新疆,陕西,重庆).pdf",f05e77363a0585345ae7f4d7c4be68c136fe45af428bea16eaad45eacdb9977d,来自 deekur/gaokaomath；仓库声明 CC-BY-4.0，保留原文件名；括号内省份范围来自文件名，具体内容仍建议人工核验,完整试卷
deekur-2020-05-math,2020,全国,普通高考,数学,"2020全国2理(甘肃,青海,内蒙古,黑龙江,吉林,辽宁.宁夏,新疆,陕西,重庆)",https://raw.githubusercontent.com/deekur/gaokaomath/main/%E6%99%AE%E9%80%9A%E9%AB%98%E8%80%83/2020/2020%E5%85%A8%E5%9B%BD2%E7%90%86%28%E7%94%98%E8%82%83%2C%E9%9D%92%E6%B5%B7%2C%E5%86%85%E8%92%99%E5%8F%A4%2C%E9%BB%91%E9%BE%99%E6%B1%9F%2C%E5%90%89%E6%9E%97%2C%E8%BE%BD%E5%AE%81.%E5%AE%81%E5%A4%8F%2C%E6%96%B0%E7%96%86%2C%E9%99%95%E8%A5%BF%2C%E9%87%8D%E5%BA%86%29.pdf,github,permitted,local,indexed,"papers/deekur/数学/2020/2020全国2理(甘肃,青海,内蒙古,黑龙江,吉林,辽宁.宁夏,新疆,陕西,重庆).pdf",72278f565c8c13ed1ac7eece2f459e8728462cb41d8e7cdd3e22b046a909ddf9,来自 deekur/gaokaomath；仓库声明 CC-BY-4.0，保留原文件名；括号内省份范围来自文件名，具体内容仍建议人工核验,完整试卷
deekur-2020-06-math,2020,全国,普通高考,数学,"2020全国3文(云南,广西,贵州,西藏,四川)",https://raw.githubusercontent.com/deekur/gaokaomath/main/%E6%99%AE%E9%80%9A%E9%AB%98%E8%80%83/2020/2020%E5%85%A8%E5%9B%BD3%E6%96%87%28%E4%BA%91%E5%8D%97%2C%E5%B9%BF%E8%A5%BF%2C%E8%B4%B5%E5%B7%9E%2C%E8%A5%BF%E8%97%8F%2C%E5%9B%9B%E5%B7%9D%29.pdf,github,permitted,local,indexed,"papers/deekur/数学/2020/2020全国3文(云南,广西,贵州,西藏,四川).pdf",912e235148c1cb6cbc319e0f8a127d02350180f32662de375de8bcb51bd38de4,来自 deekur/gaokaomath；仓库声明 CC-BY-4.0，保留原文件名；括号内省份范围来自文件名，具体内容仍建议人工核验,完整试卷
